Hourly measurement data supplied by UK-air on 27/01/2021,,,
All Data GMT hour ending,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,
,,Bristol St Paul's,
07/01/2016,12:00:00,17.31434,V ugm-3
07/01/2016,13:00:00,20.32796,V ugm-3
07/01/2016,14:00:00,21.69827,V ugm-3
07/01/2016,15:00:00,19.94451,V ugm-3
07/01/2016,16:00:00,25.53379,V ugm-3
07/01/2016,17:00:00,33.69777,V ugm-3
07/01/2016,18:00:00,30.90313,V ugm-3
07/01/2016,19:00:00,34.08075,V ugm-3
07/01/2016,20:00:00,33.04035,V ugm-3
07/01/2016,21:00:00,40.65688,V ugm-3
07/01/2016,22:00:00,45.97124,V ugm-3
07/01/2016,23:00:00,58.29969,V ugm-3
07/01/2016,24:00:00,65.69724,V ugm-3
08/01/2016,01:00:00,38.06321,V ugm-3
08/01/2016,02:00:00,50.40968,V ugm-3
08/01/2016,03:00:00,25.97175,V ugm-3
08/01/2016,04:00:00,70.30015,V ugm-3
08/01/2016,05:00:00,89.53178,V ugm-3
08/01/2016,06:00:00,72.43642,V ugm-3
08/01/2016,07:00:00,104.76484,V ugm-3
08/01/2016,08:00:00,217.09027,V ugm-3
08/01/2016,09:00:00,337.90958,V ugm-3
08/01/2016,10:00:00,307.93784,V ugm-3
08/01/2016,11:00:00,110.68211,V ugm-3
08/01/2016,12:00:00,No data,V ugm-3
08/01/2016,13:00:00,No data,V ugm-3
08/01/2016,14:00:00,No data,V ugm-3
08/01/2016,15:00:00,63.99799,V ugm-3
08/01/2016,16:00:00,83.88847,V ugm-3
08/01/2016,17:00:00,112.59987,V ugm-3
08/01/2016,18:00:00,105.80619,V ugm-3
08/01/2016,19:00:00,91.23055,V ugm-3
08/01/2016,20:00:00,270.13011,V ugm-3
08/01/2016,21:00:00,156.59885,V ugm-3
08/01/2016,22:00:00,51.0671,V ugm-3
08/01/2016,23:00:00,54.62913,V ugm-3
08/01/2016,24:00:00,58.13522,V ugm-3
09/01/2016,01:00:00,52.23611,V ugm-3
09/01/2016,02:00:00,20.31011,V ugm-3
09/01/2016,03:00:00,22.73915,V ugm-3
09/01/2016,04:00:00,26.19169,V ugm-3
09/01/2016,05:00:00,28.16395,V ugm-3
09/01/2016,06:00:00,32.82137,V ugm-3
09/01/2016,07:00:00,32.38293,V ugm-3
09/01/2016,08:00:00,33.64279,V ugm-3
09/01/2016,09:00:00,51.67001,V ugm-3
09/01/2016,10:00:00,49.64228,V ugm-3
09/01/2016,11:00:00,34.57465,V ugm-3
09/01/2016,12:00:00,40.05349,V ugm-3
09/01/2016,13:00:00,59.06708,V ugm-3
09/01/2016,14:00:00,44.16297,V ugm-3
09/01/2016,15:00:00,28.54693,V ugm-3
09/01/2016,16:00:00,29.09534,V ugm-3
09/01/2016,17:00:00,42.08074,V ugm-3
09/01/2016,18:00:00,29.97127,V ugm-3
09/01/2016,19:00:00,21.25935,V ugm-3
09/01/2016,20:00:00,27.01311,V ugm-3
09/01/2016,21:00:00,32.38293,V ugm-3
09/01/2016,22:00:00,19.34207,V ugm-3
09/01/2016,23:00:00,18.02675,V ugm-3
09/01/2016,24:00:00,17.20485,V ugm-3
10/01/2016,01:00:00,9.27817,V ugm-3
10/01/2016,02:00:00,10.59334,V ugm-3
10/01/2016,03:00:00,11.72506,V ugm-3
10/01/2016,04:00:00,9.31483,V ugm-3
10/01/2016,05:00:00,9.04087,V ugm-3
10/01/2016,06:00:00,10.57517,V ugm-3
10/01/2016,07:00:00,11.78052,V ugm-3
10/01/2016,08:00:00,29.58829,V ugm-3
10/01/2016,09:00:00,31.56055,V ugm-3
10/01/2016,10:00:00,23.56104,V ugm-3
10/01/2016,11:00:00,25.09535,V ugm-3
10/01/2016,12:00:00,47.23158,V ugm-3
10/01/2016,13:00:00,73.36828,V ugm-3
10/01/2016,14:00:00,25.53379,V ugm-3
10/01/2016,15:00:00,45.75226,V ugm-3
10/01/2016,16:00:00,39.1221,V ugm-3
10/01/2016,17:00:00,38.73864,V ugm-3
10/01/2016,18:00:00,35.72502,V ugm-3
10/01/2016,19:00:00,50.4092,V ugm-3
10/01/2016,20:00:00,56.21794,V ugm-3
10/01/2016,21:00:00,60.87488,V ugm-3
10/01/2016,22:00:00,52.10798,V ugm-3
10/01/2016,23:00:00,21.25983,V ugm-3
10/01/2016,24:00:00,27.94449,V ugm-3
11/01/2016,01:00:00,35.72486,V ugm-3
11/01/2016,02:00:00,42.00806,V ugm-3
11/01/2016,03:00:00,28.93087,V ugm-3
11/01/2016,04:00:00,27.01311,V ugm-3
11/01/2016,05:00:00,39.28658,V ugm-3
11/01/2016,06:00:00,62.0262,V ugm-3
11/01/2016,07:00:00,158.73607,V ugm-3
11/01/2016,08:00:00,193.96766,V ugm-3
11/01/2016,09:00:00,406.94844,V ugm-3
11/01/2016,10:00:00,220.92578,V ugm-3
11/01/2016,11:00:00,108.27141,V ugm-3
11/01/2016,12:00:00,50.13571,V ugm-3
11/01/2016,13:00:00,44.16345,V ugm-3
11/01/2016,14:00:00,44.43742,V ugm-3
11/01/2016,15:00:00,44.38291,V ugm-3
11/01/2016,16:00:00,59.34105,V ugm-3
11/01/2016,17:00:00,81.03884,V ugm-3
11/01/2016,18:00:00,174.95407,V ugm-3
11/01/2016,19:00:00,171.50248,V ugm-3
11/01/2016,20:00:00,80.76488,V ugm-3
11/01/2016,21:00:00,45.09484,V ugm-3
11/01/2016,22:00:00,26.68463,V ugm-3
11/01/2016,23:00:00,21.42383,V ugm-3
11/01/2016,24:00:00,19.12261,V ugm-3
12/01/2016,01:00:00,17.21186,V ugm-3
12/01/2016,02:00:00,14.36734,V ugm-3
12/01/2016,03:00:00,12.47093,V ugm-3
12/01/2016,04:00:00,10.22853,V ugm-3
12/01/2016,05:00:00,9.29858,V ugm-3
12/01/2016,06:00:00,12.14294,V ugm-3
12/01/2016,07:00:00,19.03511,V ugm-3
12/01/2016,08:00:00,32.70853,V ugm-3
12/01/2016,09:00:00,63.34009,V ugm-3
12/01/2016,10:00:00,36.21032,V ugm-3
12/01/2016,11:00:00,33.03748,V ugm-3
12/01/2016,12:00:00,29.26316,V ugm-3
12/01/2016,13:00:00,23.95693,V ugm-3
12/01/2016,14:00:00,24.83286,V ugm-3
12/01/2016,15:00:00,23.13695,V ugm-3
12/01/2016,16:00:00,26.52781,V ugm-3
12/01/2016,17:00:00,31.72455,V ugm-3
12/01/2016,18:00:00,29.15367,V ugm-3
12/01/2016,19:00:00,28.6067,V ugm-3
12/01/2016,20:00:00,27.07526,V ugm-3
12/01/2016,21:00:00,21.49602,V ugm-3
12/01/2016,22:00:00,18.76067,V ugm-3
12/01/2016,23:00:00,18.15967,V ugm-3
12/01/2016,24:00:00,9.40759,V ugm-3
13/01/2016,01:00:00,8.00063,V ugm-3
13/01/2016,02:00:00,8.80133,V ugm-3
13/01/2016,03:00:00,16.03823,V ugm-3
13/01/2016,04:00:00,22.20365,V ugm-3
13/01/2016,05:00:00,16.96674,V ugm-3
13/01/2016,06:00:00,61.48257,V ugm-3
13/01/2016,07:00:00,131.09375,V ugm-3
13/01/2016,08:00:00,107.52601,V ugm-3
13/01/2016,09:00:00,526.33769,V ugm-3
13/01/2016,10:00:00,182.6471,V ugm-3
13/01/2016,11:00:00,103.2707,V ugm-3
13/01/2016,12:00:00,73.32047,V ugm-3
13/01/2016,13:00:00,60.39101,V ugm-3
13/01/2016,14:00:00,56.02669,V ugm-3
13/01/2016,15:00:00,50.73528,V ugm-3
13/01/2016,16:00:00,90.50524,V ugm-3
13/01/2016,17:00:00,93.28697,V ugm-3
13/01/2016,18:00:00,65.30136,V ugm-3
13/01/2016,19:00:00,48.77162,V ugm-3
13/01/2016,20:00:00,42.77019,V ugm-3
13/01/2016,21:00:00,37.09676,V ugm-3
13/01/2016,22:00:00,32.4054,V ugm-3
13/01/2016,23:00:00,23.40374,V ugm-3
13/01/2016,24:00:00,19.63994,V ugm-3
14/01/2016,01:00:00,14.59493,V ugm-3
14/01/2016,02:00:00,31.58621,V ugm-3
14/01/2016,03:00:00,36.9232,V ugm-3
14/01/2016,04:00:00,29.40756,V ugm-3
14/01/2016,05:00:00,32.67506,V ugm-3
14/01/2016,06:00:00,38.61098,V ugm-3
14/01/2016,07:00:00,43.1307,V ugm-3
14/01/2016,08:00:00,63.98843,V ugm-3
14/01/2016,09:00:00,52.66164,V ugm-3
14/01/2016,10:00:00,43.07619,V ugm-3
14/01/2016,11:00:00,30.87779,V ugm-3
14/01/2016,12:00:00,31.58589,V ugm-3
14/01/2016,13:00:00,29.68009,V ugm-3
14/01/2016,14:00:00,31.91245,V ugm-3
14/01/2016,15:00:00,32.56557,V ugm-3
14/01/2016,16:00:00,38.44699,V ugm-3
14/01/2016,17:00:00,56.74579,V ugm-3
14/01/2016,18:00:00,81.36062,V ugm-3
14/01/2016,19:00:00,71.7766,V ugm-3
14/01/2016,20:00:00,81.1971,V ugm-3
14/01/2016,21:00:00,54.73049,V ugm-3
14/01/2016,22:00:00,34.30882,V ugm-3
14/01/2016,23:00:00,27.17423,V ugm-3
14/01/2016,24:00:00,22.05543,V ugm-3
15/01/2016,01:00:00,11.81479,V ugm-3
15/01/2016,02:00:00,13.77191,V ugm-3
15/01/2016,03:00:00,9.40472,V ugm-3
15/01/2016,04:00:00,8.48098,V ugm-3
15/01/2016,05:00:00,12.99305,V ugm-3
15/01/2016,06:00:00,21.41904,V ugm-3
15/01/2016,07:00:00,31.20387,V ugm-3
15/01/2016,08:00:00,45.99084,V ugm-3
15/01/2016,09:00:00,66.15911,V ugm-3
15/01/2016,10:00:00,84.96855,V ugm-3
15/01/2016,11:00:00,51.6987,V ugm-3
15/01/2016,12:00:00,44.08838,V ugm-3
15/01/2016,13:00:00,41.58731,V ugm-3
15/01/2016,14:00:00,31.42238,V ugm-3
15/01/2016,15:00:00,30.11757,V ugm-3
15/01/2016,16:00:00,42.13094,V ugm-3
15/01/2016,17:00:00,62.24566,V ugm-3
15/01/2016,18:00:00,125.68663,V ugm-3
15/01/2016,19:00:00,123.18604,V ugm-3
15/01/2016,20:00:00,53.32958,V ugm-3
15/01/2016,21:00:00,48.00184,V ugm-3
15/01/2016,22:00:00,37.56533,V ugm-3
15/01/2016,23:00:00,38.10848,V ugm-3
15/01/2016,24:00:00,54.68889,V ugm-3
16/01/2016,01:00:00,52.96478,V ugm-3
16/01/2016,02:00:00,36.32348,V ugm-3
16/01/2016,03:00:00,22.84625,V ugm-3
16/01/2016,04:00:00,57.19762,V ugm-3
16/01/2016,05:00:00,146.1958,V ugm-3
16/01/2016,06:00:00,184.07478,V ugm-3
16/01/2016,07:00:00,219.99918,V ugm-3
16/01/2016,08:00:00,500.452,V ugm-3
16/01/2016,09:00:00,696.46508,V ugm-3
16/01/2016,10:00:00,616.69232,V ugm-3
16/01/2016,11:00:00,264.8779,V ugm-3
16/01/2016,12:00:00,220.10676,V ugm-3
16/01/2016,13:00:00,301.72652,V ugm-3
16/01/2016,14:00:00,195.57894,V ugm-3
16/01/2016,15:00:00,70.43929,V ugm-3
16/01/2016,16:00:00,77.87365,V ugm-3
16/01/2016,17:00:00,84.92839,V ugm-3
16/01/2016,18:00:00,265.80116,V ugm-3
16/01/2016,19:00:00,310.08319,V ugm-3
16/01/2016,20:00:00,200.13834,V ugm-3
16/01/2016,21:00:00,172.84123,V ugm-3
16/01/2016,22:00:00,183.74822,V ugm-3
16/01/2016,23:00:00,87.37065,V ugm-3
16/01/2016,24:00:00,73.31425,V ugm-3
17/01/2016,01:00:00,63.19984,V ugm-3
17/01/2016,02:00:00,123.43849,V ugm-3
17/01/2016,03:00:00,108.23507,V ugm-3
17/01/2016,04:00:00,132.34165,V ugm-3
17/01/2016,05:00:00,165.43986,V ugm-3
17/01/2016,06:00:00,150.59694,V ugm-3
17/01/2016,07:00:00,141.60437,V ugm-3
17/01/2016,08:00:00,143.9883,V ugm-3
17/01/2016,09:00:00,43.87944,V ugm-3
17/01/2016,10:00:00,45.12448,V ugm-3
17/01/2016,11:00:00,33.26172,V ugm-3
17/01/2016,12:00:00,30.49864,V ugm-3
17/01/2016,13:00:00,31.9617,V ugm-3
17/01/2016,14:00:00,36.99923,V ugm-3
17/01/2016,15:00:00,41.27892,V ugm-3
17/01/2016,16:00:00,42.25334,V ugm-3
17/01/2016,17:00:00,47.72548,V ugm-3
17/01/2016,18:00:00,39.11206,V ugm-3
17/01/2016,19:00:00,29.41521,V ugm-3
17/01/2016,20:00:00,28.928,V ugm-3
17/01/2016,21:00:00,26.43601,V ugm-3
17/01/2016,22:00:00,26.3815,V ugm-3
17/01/2016,23:00:00,22.3184,V ugm-3
17/01/2016,24:00:00,25.40661,V ugm-3
18/01/2016,01:00:00,34.68064,V ugm-3
18/01/2016,02:00:00,26.10053,V ugm-3
18/01/2016,03:00:00,31.79675,V ugm-3
18/01/2016,04:00:00,15.03321,V ugm-3
18/01/2016,05:00:00,10.32846,V ugm-3
18/01/2016,06:00:00,17.41283,V ugm-3
18/01/2016,07:00:00,27.63276,V ugm-3
18/01/2016,08:00:00,51.96693,V ugm-3
18/01/2016,09:00:00,55.53613,V ugm-3
18/01/2016,10:00:00,52.94087,V ugm-3
18/01/2016,11:00:00,45.47782,V ugm-3
18/01/2016,12:00:00,No data,V ugm-3
18/01/2016,13:00:00,No data,V ugm-3
18/01/2016,14:00:00,No data,V ugm-3
18/01/2016,15:00:00,No data,V ugm-3
18/01/2016,16:00:00,No data,V ugm-3
18/01/2016,17:00:00,No data,V ugm-3
18/01/2016,18:00:00,No data,V ugm-3
18/01/2016,19:00:00,No data,V ugm-3
18/01/2016,20:00:00,No data,V ugm-3
18/01/2016,21:00:00,No data,V ugm-3
18/01/2016,22:00:00,No data,V ugm-3
18/01/2016,23:00:00,No data,V ugm-3
18/01/2016,24:00:00,No data,V ugm-3
19/01/2016,01:00:00,No data,V ugm-3
19/01/2016,02:00:00,80.28675,V ugm-3
19/01/2016,03:00:00,82.55211,V ugm-3
19/01/2016,04:00:00,71.33625,V ugm-3
19/01/2016,05:00:00,78.70272,V ugm-3
19/01/2016,06:00:00,96.09643,V ugm-3
19/01/2016,07:00:00,147.09181,V ugm-3
19/01/2016,08:00:00,No data,V ugm-3
19/01/2016,09:00:00,No data,V ugm-3
19/01/2016,10:00:00,No data,V ugm-3
19/01/2016,11:00:00,No data,V ugm-3
19/01/2016,12:00:00,109.45142,V ugm-3
19/01/2016,13:00:00,88.96759,V ugm-3
19/01/2016,14:00:00,79.84305,V ugm-3
19/01/2016,15:00:00,78.17918,V ugm-3
19/01/2016,16:00:00,64.34989,V ugm-3
19/01/2016,17:00:00,183.92417,V ugm-3
19/01/2016,18:00:00,342.32746,V ugm-3
19/01/2016,19:00:00,567.45596,V ugm-3
19/01/2016,20:00:00,670.30161,V ugm-3
19/01/2016,21:00:00,765.68563,V ugm-3
19/01/2016,22:00:00,828.22916,V ugm-3
19/01/2016,23:00:00,690.64248,V ugm-3
19/01/2016,24:00:00,404.34792,V ugm-3
20/01/2016,01:00:00,403.83458,V ugm-3
20/01/2016,02:00:00,457.58539,V ugm-3
20/01/2016,03:00:00,537.92601,V ugm-3
20/01/2016,04:00:00,495.31981,V ugm-3
20/01/2016,05:00:00,345.81586,V ugm-3
20/01/2016,06:00:00,254.44235,V ugm-3
20/01/2016,07:00:00,363.58442,V ugm-3
20/01/2016,08:00:00,568.11338,V ugm-3
20/01/2016,09:00:00,689.34007,V ugm-3
20/01/2016,10:00:00,844.71874,V ugm-3
20/01/2016,11:00:00,673.00445,V ugm-3
20/01/2016,12:00:00,557.12751,V ugm-3
20/01/2016,13:00:00,383.45529,V ugm-3
20/01/2016,14:00:00,142.67298,V ugm-3
20/01/2016,15:00:00,102.69408,V ugm-3
20/01/2016,16:00:00,116.06819,V ugm-3
20/01/2016,17:00:00,198.55766,V ugm-3
20/01/2016,18:00:00,275.84131,V ugm-3
20/01/2016,19:00:00,446.45687,V ugm-3
20/01/2016,20:00:00,465.46664,V ugm-3
20/01/2016,21:00:00,500.7647,V ugm-3
20/01/2016,22:00:00,454.43295,V ugm-3
20/01/2016,23:00:00,411.77942,V ugm-3
20/01/2016,24:00:00,300.58284,V ugm-3
21/01/2016,01:00:00,209.08789,V ugm-3
21/01/2016,02:00:00,156.20854,V ugm-3
21/01/2016,03:00:00,124.92546,V ugm-3
21/01/2016,04:00:00,88.7663,V ugm-3
21/01/2016,05:00:00,62.82228,V ugm-3
21/01/2016,06:00:00,62.48663,V ugm-3
21/01/2016,07:00:00,79.22292,V ugm-3
21/01/2016,08:00:00,82.72375,V ugm-3
21/01/2016,09:00:00,102.72181,V ugm-3
21/01/2016,10:00:00,97.49447,V ugm-3
21/01/2016,11:00:00,78.64822,V ugm-3
21/01/2016,12:00:00,75.86601,V ugm-3
21/01/2016,13:00:00,53.37501,V ugm-3
21/01/2016,14:00:00,55.38983,V ugm-3
21/01/2016,15:00:00,62.48663,V ugm-3
21/01/2016,16:00:00,61.95926,V ugm-3
21/01/2016,17:00:00,72.31784,V ugm-3
21/01/2016,18:00:00,70.87868,V ugm-3
21/01/2016,19:00:00,60.99967,V ugm-3
21/01/2016,20:00:00,51.50458,V ugm-3
21/01/2016,21:00:00,32.32221,V ugm-3
21/01/2016,22:00:00,23.59403,V ugm-3
21/01/2016,23:00:00,23.54622,V ugm-3
21/01/2016,24:00:00,20.0932,V ugm-3
22/01/2016,01:00:00,20.02961,V ugm-3
22/01/2016,02:00:00,30.62168,V ugm-3
22/01/2016,03:00:00,36.88065,V ugm-3
22/01/2016,04:00:00,28.26245,V ugm-3
22/01/2016,05:00:00,29.61076,V ugm-3
22/01/2016,06:00:00,20.41402,V ugm-3
22/01/2016,07:00:00,39.38459,V ugm-3
22/01/2016,08:00:00,43.76565,V ugm-3
22/01/2016,09:00:00,52.38481,V ugm-3
22/01/2016,10:00:00,86.27957,V ugm-3
22/01/2016,11:00:00,80.5502,V ugm-3
22/01/2016,12:00:00,71.11344,V ugm-3
22/01/2016,13:00:00,22.05113,V ugm-3
22/01/2016,14:00:00,25.6624,V ugm-3
22/01/2016,15:00:00,30.28444,V ugm-3
22/01/2016,16:00:00,39.81777,V ugm-3
22/01/2016,17:00:00,50.55455,V ugm-3
22/01/2016,18:00:00,42.46563,V ugm-3
22/01/2016,19:00:00,36.44795,V ugm-3
22/01/2016,20:00:00,30.52589,V ugm-3
22/01/2016,21:00:00,25.90338,V ugm-3
22/01/2016,22:00:00,27.20292,V ugm-3
22/01/2016,23:00:00,25.32533,V ugm-3
22/01/2016,24:00:00,21.56965,V ugm-3
23/01/2016,01:00:00,22.96721,V ugm-3
23/01/2016,02:00:00,15.2898,V ugm-3
23/01/2016,03:00:00,12.04875,V ugm-3
23/01/2016,04:00:00,11.41906,V ugm-3
23/01/2016,05:00:00,25.40278,V ugm-3
23/01/2016,06:00:00,22.64496,V ugm-3
23/01/2016,07:00:00,34.88687,V ugm-3
23/01/2016,08:00:00,55.74029,V ugm-3
23/01/2016,09:00:00,96.96614,V ugm-3
23/01/2016,10:00:00,59.37022,V ugm-3
23/01/2016,11:00:00,37.16083,V ugm-3
23/01/2016,12:00:00,38.61194,V ugm-3
23/01/2016,13:00:00,43.54763,V ugm-3
23/01/2016,14:00:00,37.11206,V ugm-3
23/01/2016,15:00:00,25.20914,V ugm-3
23/01/2016,16:00:00,34.59617,V ugm-3
23/01/2016,17:00:00,37.06425,V ugm-3
23/01/2016,18:00:00,26.61244,V ugm-3
23/01/2016,19:00:00,29.99948,V ugm-3
23/01/2016,20:00:00,30.24141,V ugm-3
23/01/2016,21:00:00,30.53163,V ugm-3
23/01/2016,22:00:00,29.08004,V ugm-3
23/01/2016,23:00:00,38.37001,V ugm-3
23/01/2016,24:00:00,23.32198,V ugm-3
24/01/2016,01:00:00,18.45945,V ugm-3
