Hourly measurement data supplied by UK-air on 27/01/2021,,,
All Data GMT hour ending,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,
,,Bristol St Paul's,
Date,Time,Nitrogen oxides as nitrogen dioxide,Status
01/01/2016,01:00:00,140.34308,V ugm-3
01/01/2016,02:00:00,91.68716,V ugm-3
01/01/2016,03:00:00,80.54589,V ugm-3
01/01/2016,04:00:00,220.76131,V ugm-3
01/01/2016,05:00:00,76.43689,V ugm-3
01/01/2016,06:00:00,54.35468,V ugm-3
01/01/2016,07:00:00,45.3143,V ugm-3
01/01/2016,08:00:00,56.4919,V ugm-3
01/01/2016,09:00:00,24.32796,V ugm-3
01/01/2016,10:00:00,25.97223,V ugm-3
01/01/2016,11:00:00,27.72551,V ugm-3
01/01/2016,12:00:00,18.84912,V ugm-3
01/01/2016,13:00:00,19.61556,V ugm-3
01/01/2016,14:00:00,21.69827,V ugm-3
01/01/2016,15:00:00,17.64377,V ugm-3
01/01/2016,16:00:00,16.7119,V ugm-3
01/01/2016,17:00:00,17.20485,V ugm-3
01/01/2016,18:00:00,17.14987,V ugm-3
01/01/2016,19:00:00,12.16398,V ugm-3
01/01/2016,20:00:00,11.1231,V ugm-3
01/01/2016,21:00:00,10.46568,V ugm-3
01/01/2016,22:00:00,11.17808,V ugm-3
01/01/2016,23:00:00,10.13673,V ugm-3
01/01/2016,24:00:00,8.9309,V ugm-3
02/01/2016,01:00:00,7.23244,V ugm-3
02/01/2016,02:00:00,11.10525,V ugm-3
02/01/2016,03:00:00,15.8355,V ugm-3
02/01/2016,04:00:00,8.21897,V ugm-3
02/01/2016,05:00:00,15.34208,V ugm-3
02/01/2016,06:00:00,8.60243,V ugm-3
02/01/2016,07:00:00,12.60194,V ugm-3
02/01/2016,08:00:00,16.16397,V ugm-3
02/01/2016,09:00:00,16.05448,V ugm-3
02/01/2016,10:00:00,13.36981,V ugm-3
02/01/2016,11:00:00,17.42431,V ugm-3
02/01/2016,12:00:00,31.06808,V ugm-3
02/01/2016,13:00:00,39.28705,V ugm-3
02/01/2016,14:00:00,34.13573,V ugm-3
02/01/2016,15:00:00,36.21845,V ugm-3
02/01/2016,16:00:00,37.20482,V ugm-3
02/01/2016,17:00:00,43.77999,V ugm-3
02/01/2016,18:00:00,38.84813,V ugm-3
02/01/2016,19:00:00,27.72503,V ugm-3
02/01/2016,20:00:00,20.38295,V ugm-3
02/01/2016,21:00:00,18.19122,V ugm-3
02/01/2016,22:00:00,16.27346,V ugm-3
02/01/2016,23:00:00,10.90364,V ugm-3
02/01/2016,24:00:00,8.38344,V ugm-3
03/01/2016,01:00:00,10.15537,V ugm-3
03/01/2016,02:00:00,14.6115,V ugm-3
03/01/2016,03:00:00,14.57468,V ugm-3
03/01/2016,04:00:00,13.97273,V ugm-3
03/01/2016,05:00:00,38.57417,V ugm-3
03/01/2016,06:00:00,13.25984,V ugm-3
03/01/2016,07:00:00,11.67151,V ugm-3
03/01/2016,08:00:00,17.04085,V ugm-3
03/01/2016,09:00:00,18.35522,V ugm-3
03/01/2016,10:00:00,19.12261,V ugm-3
03/01/2016,11:00:00,16.60241,V ugm-3
03/01/2016,12:00:00,19.2321,V ugm-3
03/01/2016,13:00:00,35.8895,V ugm-3
03/01/2016,14:00:00,32.54693,V ugm-3
03/01/2016,15:00:00,34.08123,V ugm-3
03/01/2016,16:00:00,40.60142,V ugm-3
03/01/2016,17:00:00,54.62865,V ugm-3
03/01/2016,18:00:00,34.4097,V ugm-3
03/01/2016,19:00:00,58.79264,V ugm-3
03/01/2016,20:00:00,55.01211,V ugm-3
03/01/2016,21:00:00,95.83298,V ugm-3
03/01/2016,22:00:00,54.68363,V ugm-3
03/01/2016,23:00:00,24.27345,V ugm-3
03/01/2016,24:00:00,25.86226,V ugm-3
04/01/2016,01:00:00,13.51564,V ugm-3
04/01/2016,02:00:00,15.0501,V ugm-3
04/01/2016,03:00:00,11.72554,V ugm-3
04/01/2016,04:00:00,9.80778,V ugm-3
04/01/2016,05:00:00,10.68466,V ugm-3
04/01/2016,06:00:00,13.64378,V ugm-3
04/01/2016,07:00:00,40.49193,V ugm-3
04/01/2016,08:00:00,86.68263,V ugm-3
04/01/2016,09:00:00,74.46414,V ugm-3
04/01/2016,10:00:00,68.71087,V ugm-3
04/01/2016,11:00:00,58.40918,V ugm-3
04/01/2016,12:00:00,51.39605,V ugm-3
04/01/2016,13:00:00,60.27244,V ugm-3
04/01/2016,14:00:00,82.29918,V ugm-3
04/01/2016,15:00:00,49.14934,V ugm-3
04/01/2016,16:00:00,53.64276,V ugm-3
04/01/2016,17:00:00,66.35514,V ugm-3
04/01/2016,18:00:00,51.83449,V ugm-3
04/01/2016,19:00:00,57.14885,V ugm-3
04/01/2016,20:00:00,41.64325,V ugm-3
04/01/2016,21:00:00,38.73864,V ugm-3
04/01/2016,22:00:00,27.01311,V ugm-3
04/01/2016,23:00:00,19.39657,V ugm-3
04/01/2016,24:00:00,19.61603,V ugm-3
05/01/2016,01:00:00,14.31889,V ugm-3
05/01/2016,02:00:00,13.51564,V ugm-3
05/01/2016,03:00:00,15.28757,V ugm-3
05/01/2016,04:00:00,17.69828,V ugm-3
05/01/2016,05:00:00,15.56106,V ugm-3
05/01/2016,06:00:00,85.25829,V ugm-3
05/01/2016,07:00:00,198.84406,V ugm-3
05/01/2016,08:00:00,264.7053,V ugm-3
05/01/2016,09:00:00,243.71992,V ugm-3
05/01/2016,10:00:00,85.25829,V ugm-3
05/01/2016,11:00:00,103.23006,V ugm-3
05/01/2016,12:00:00,60.81989,V ugm-3
05/01/2016,13:00:00,52.82038,V ugm-3
05/01/2016,14:00:00,38.24522,V ugm-3
05/01/2016,15:00:00,42.57464,V ugm-3
05/01/2016,16:00:00,54.19021,V ugm-3
05/01/2016,17:00:00,94.57265,V ugm-3
05/01/2016,18:00:00,104.10694,V ugm-3
05/01/2016,19:00:00,130.6816,V ugm-3
05/01/2016,20:00:00,86.57314,V ugm-3
05/01/2016,21:00:00,70.24421,V ugm-3
05/01/2016,22:00:00,42.84813,V ugm-3
05/01/2016,23:00:00,37.31431,V ugm-3
05/01/2016,24:00:00,41.58779,V ugm-3
06/01/2016,01:00:00,25.4235,V ugm-3
06/01/2016,02:00:00,18.04508,V ugm-3
06/01/2016,03:00:00,14.95862,V ugm-3
06/01/2016,04:00:00,15.56153,V ugm-3
06/01/2016,05:00:00,12.32893,V ugm-3
06/01/2016,06:00:00,23.61603,V ugm-3
06/01/2016,07:00:00,41.86176,V ugm-3
06/01/2016,08:00:00,78.62813,V ugm-3
06/01/2016,09:00:00,115.88746,V ugm-3
06/01/2016,10:00:00,119.11958,V ugm-3
06/01/2016,11:00:00,81.64176,V ugm-3
06/01/2016,12:00:00,70.62863,V ugm-3
06/01/2016,13:00:00,53.86174,V ugm-3
06/01/2016,14:00:00,43.06711,V ugm-3
06/01/2016,15:00:00,57.20431,V ugm-3
06/01/2016,16:00:00,78.0802,V ugm-3
06/01/2016,17:00:00,156.81735,V ugm-3
06/01/2016,18:00:00,155.99593,V ugm-3
06/01/2016,19:00:00,106.84659,V ugm-3
06/01/2016,20:00:00,69.64225,V ugm-3
06/01/2016,21:00:00,53.86126,V ugm-3
06/01/2016,22:00:00,38.35519,V ugm-3
06/01/2016,23:00:00,32.43743,V ugm-3
06/01/2016,24:00:00,20.27346,V ugm-3
07/01/2016,01:00:00,14.53819,V ugm-3
07/01/2016,02:00:00,18.70297,V ugm-3
07/01/2016,03:00:00,15.12309,V ugm-3
07/01/2016,04:00:00,13.58879,V ugm-3
07/01/2016,05:00:00,15.39706,V ugm-3
07/01/2016,06:00:00,20.60193,V ugm-3
07/01/2016,07:00:00,25.36931,V ugm-3
07/01/2016,08:00:00,26.95812,V ugm-3
07/01/2016,09:00:00,33.42381,V ugm-3
07/01/2016,10:00:00,25.42382,V ugm-3
07/01/2016,11:00:00,16.93088,V ugm-3
